question,query,sql,table1,table2
"What is the average varicose vein score for patients in different age bands and how does it affect their knee replacement pre-op kneeling ability, post-op eq5d index, and pre-op disability status?","What is the average Varicose Vein Post-Op Q Score for patients with a specific Age Band, and how does it relate to their Knee Replacement Pre-Op Q Kneeling ability, Post-Op Q EQ5D Index, and Pre-Op Q Disability status?","SELECT AVG(T1.`Varicose Vein Post-Op Q Score`) AS average_varicose_vein_score, T2.`Age Band`, T2.`Knee Replacement Pre-Op Q Kneeling`, T2.`Post-Op Q EQ5D Index`, T2.`Pre-Op Q Disability` FROM `UK_CSV0000000000003896__3` T1 INNER JOIN `UK_CSV0000000000002010__6` T2 ON T1.`Age Band` = T2.`Age Band` GROUP BY T2.`Age Band`, T2.`Knee Replacement Pre-Op Q Kneeling`, T2.`Post-Op Q EQ5D Index`, T2.`Pre-Op Q Disability`",UK_CSV0000000000003896__3,UK_CSV0000000000002010__6
"What is the average varicose vein score for patients in a certain age group, and how does it compare to their knee replacement pre-op kneeling ability, post-op EQ5D index, and pre-op disability?","What is the average Varicose Vein Post-Op Q Score for patients with a specific Age Band, and how does it relate to their Knee Replacement Pre-Op Q Kneeling ability, Post-Op Q EQ5D Index, and Pre-Op Q Disability?","SELECT AVG(T1.`Varicose Vein Post-Op Q Score`) AS average_varicose_vein_score, T2.`Age Band`, T2.`Knee Replacement Pre-Op Q Kneeling`, T2.`Post-Op Q EQ5D Index`, T2.`Pre-Op Q Disability` FROM `UK_CSV0000000000003896__3` T1 INNER JOIN `UK_CSV0000000000002010__6` T2 ON T1.`Age Band` = T2.`Age Band` AND T1.`Provider Code` = T2.`Provider Code` GROUP BY T2.`Age Band`, T2.`Knee Replacement Pre-Op Q Kneeling`, T2.`Post-Op Q EQ5D Index`, T2.`Pre-Op Q Disability`",UK_CSV0000000000003896__3,UK_CSV0000000000002010__6
What is the average quality of life after hip replacement surgery for patients in different age groups and with varying mobility before surgery?,"What is the average Post-Op Q EQ5D Index for patients who underwent Hip Replacement procedures in the same year, across different age bands, and how does it relate to their Pre-Op Q Mobility scores?","SELECT AVG(T1.`Post-Op Q EQ5D Index`) AS average_post_op_eq5d_index, T2.`Age Band`, T2.`Pre-Op Q Mobility` FROM `UK_CSV0000000000006676__2` T1 INNER JOIN `UK_CSV0000000000006676__5` T2 ON T1.`Year` = T2.`Year` AND T1.`Procedure` = T2.`Procedure` GROUP BY T2.`Age Band`, T2.`Pre-Op Q Mobility`",UK_CSV0000000000006676__2,UK_CSV0000000000006676__5
"What is the average quality of life after hip replacement surgery for different age groups, considering the sudden pain experienced before surgery?","What is the average Post-Op Q EQ5D Index for patients who underwent hip replacement procedures in each Age Band, considering only those with matching Year and Procedure in both datasets, and also comparing their Hip Replacement Pre-Op Q Sudden Pain levels?","SELECT T1.`Age Band`, AVG(T1.`Post-Op Q EQ5D Index`) AS average_post_op_eq5d_index, T2.`Hip Replacement Pre-Op Q Sudden Pain` FROM `UK_CSV0000000000006676__2` T1 INNER JOIN `UK_CSV0000000000006676__5` T2 ON T1.`Year` = T2.`Year` AND T1.`Procedure` = T2.`Procedure` GROUP BY T1.`Age Band`, T2.`Hip Replacement Pre-Op Q Sudden Pain`",UK_CSV0000000000006676__2,UK_CSV0000000000006676__5
"What is the average quality of life after hip replacement surgery for patients with similar mobility before surgery, and how does it affect their ability to wash themselves?","What is the average post-op EQ5D index for patients who underwent hip replacement procedures in the same year and had similar pre-op mobility scores, and how does it relate to their post-op washing abilities?","SELECT AVG(T1.`Post-Op Q EQ5D Index`) AS average_post_op_eq5d_index, T2.`Age Band`, T2.`Pre-Op Q Mobility`, T2.`Hip Replacement Post-Op Q Washing` FROM `UK_CSV0000000000006676__2` T1 INNER JOIN `UK_CSV0000000000006676__5` T2 ON T1.`Year` = T2.`Year` AND T1.`Procedure` = T2.`Procedure` GROUP BY T2.`Age Band`, T2.`Pre-Op Q Mobility`, T2.`Hip Replacement Post-Op Q Washing`",UK_CSV0000000000006676__2,UK_CSV0000000000006676__5
"What is the average post-operative quality score for varicose vein patients by age group, including mobility after surgery and EQ5D index before surgery?","What is the average Varicose Vein Post-Op Q Score for patients in each Age Band, along with their corresponding Post-Op Q Mobility and Pre-Op Q EQ5D Index values?","SELECT T1.`Age Band`, AVG(T1.`Varicose Vein Post-Op Q Score`) AS average_post_op_score, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index` FROM `UK_CSV0000000000003896__3` T1 INNER JOIN `UK_CSV0000000000003896__8` T2 ON T1.`Age Band` = T2.`Age Band` GROUP BY T1.`Age Band`, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index`",UK_CSV0000000000003896__3,UK_CSV0000000000003896__8
"What is the average post-op score for patients in each age band with specific pre-op and post-op conditions, and how does it relate to their clothing and painkiller usage?","What is the average Varicose Vein Post-Op Q Score for patients in each Age Band who have a specific Pre-Op Q EQ5D Index and Post-Op Q Mobility, and how does this relate to their Varicose Vein Pre-Op Q Clothing and Varicose Vein Post-Op Q Painkiller Days?","SELECT T1.`Age Band`, AVG(T1.`Varicose Vein Post-Op Q Score`) AS average_post_op_score, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index`, T1.`Varicose Vein Pre-Op Q Clothing`, T1.`Varicose Vein Post-Op Q Painkiller Days` FROM `UK_CSV0000000000003896__3` T1 INNER JOIN `UK_CSV0000000000003896__8` T2 ON T1.`Age Band` = T2.`Age Band` GROUP BY T1.`Age Band`, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index`, T1.`Varicose Vein Pre-Op Q Clothing`, T1.`Varicose Vein Post-Op Q Painkiller Days`",UK_CSV0000000000003896__3,UK_CSV0000000000003896__8
"What is the average post-operative quality score for varicose vein patients in different age groups, along with their mobility after surgery and EQ5D index before surgery, and how does this relate to the number of varicose veins on the left front before surgery and the number of days they took painkillers after surgery?","What is the average Varicose Vein Post-Op Q Score for patients in each Age Band, along with their corresponding Post-Op Q Mobility and Pre-Op Q EQ5D Index, and how does it relate to their Varicose Vein Pre-Op Q Left Front Count and Varicose Vein Post-Op Q Painkiller Days?","SELECT T1.`Age Band`, AVG(T1.`Varicose Vein Post-Op Q Score`) AS average_post_op_score, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index`, T1.`Varicose Vein Pre-Op Q Left Front Count`, T1.`Varicose Vein Post-Op Q Painkiller Days` FROM `UK_CSV0000000000003896__3` T1 INNER JOIN `UK_CSV0000000000003896__8` T2 ON T1.`Age Band` = T2.`Age Band` GROUP BY T1.`Age Band`, T2.`Post-Op Q Mobility`, T2.`Pre-Op Q EQ5D Index`, T1.`Varicose Vein Pre-Op Q Left Front Count`, T1.`Varicose Vein Post-Op Q Painkiller Days`",UK_CSV0000000000003896__3,UK_CSV0000000000003896__8
What is the average number of people on CPA for each area?,What is the average number of people on CPA for each CCG name?,"SELECT T1.`CCG Name`, AVG(T2.`People on CPA`) AS average_people_on_cpa, T2.`People in contact with services YTD`, T2.`Admissions to hospital` FROM `UK_CSV0000000000005854__10` T1 INNER JOIN `UK_CSV0000000000012396` T2 ON T1.`CCG Name` = T2.`CCG` GROUP BY T1.`CCG Name`, T2.`People in contact with services YTD`, T2.`Admissions to hospital`",UK_CSV0000000000005854__10,UK_CSV0000000000012396
"What is the average number of people on CPA for each CCG name, along with the total number of people in contact with services YTD and admissions to hospital, for those CCGs that have at least one person with a diagnosis recorded?","What is the average number of people on CPA for each CCG name, along with the total number of people in contact with services YTD and admissions to hospital, for those CCGs that have at least one person with a diagnosis recorded?","SELECT T1.`CCG Name`, AVG(T2.`People on CPA`) AS average_people_on_cpa, SUM(T2.`People in contact with services YTD`) AS total_people_in_contact, SUM(T2.`Admissions to hospital`) AS total_admissions_to_hospital FROM `UK_CSV0000000000005854__10` T1 INNER JOIN `UK_CSV0000000000012396` T2 ON T1.`CCG Name` = T2.`CCG` WHERE T2.`People with a diagnosis recorded` > 0 GROUP BY T1.`CCG Name`",UK_CSV0000000000005854__10,UK_CSV0000000000012396
"What is the average number of people on CPA for each CCG name, along with the total number of people in contact with services YTD and admissions to hospital, where the people have a diagnosis recorded and are being treated by Early Intervention Teams?","What is the average number of people on CPA for each CCG name, along with the total number of people in contact with services YTD and admissions to hospital, where the people have a diagnosis recorded and are being treated by Early Intervention Teams?","SELECT T1.`CCG Name`, AVG(T2.`People on CPA`) AS average_people_on_cpa, SUM(T2.`People in contact with services YTD`) AS total_people_in_contact, SUM(T2.`Admissions to hospital`) AS total_admissions_to_hospital FROM `UK_CSV0000000000005854__10` T1 INNER JOIN `UK_CSV0000000000012396` T2 ON T1.`CCG Name` = T2.`CCG` WHERE T2.`People with a diagnosis recorded` > 0 AND T2.`People being treated by Early Intervention Teams` > 0 GROUP BY T1.`CCG Name`",UK_CSV0000000000005854__10,UK_CSV0000000000012396
"What is the average cost of sales for companies with a certain incorporation status, and how does it affect their net profit or loss?","What is the average Upper_Middle_cost_of_Sales_3e_quart_Cout_de_ventes_(frais_direct) from CAN_CSV0000000000001787__12 for businesses with a specific Incorporation_Status__Etat_d'incorporation from CAN_CSV0000000000001797__0, and how does it relate to their Net_Profit/Loss_Benefice/perte_net?","SELECT AVG(C1.`Upper_Middle_cost_of_Sales_3e_quart_Cout_de_ventes_(frais_direct)`) AS average_cost, C2.`Incorporation_Status__Etat_d'incorporation`, C2.`Net_Profit/Loss_Benefice/perte_net` FROM `CAN_CSV0000000000001787__12` C1 JOIN `CAN_CSV0000000000001797__0` C2 ON C1.`Quality_Indicator_Indicateurs_de_qualite_1` = C2.`Quality_Indicator_Indicateurs_de_qualite_4` WHERE C2.`Incorporation_Status__Etat_d'incorporation` IS NOT NULL GROUP BY C2.`Incorporation_Status__Etat_d'incorporation`, C2.`Net_Profit/Loss_Benefice/perte_net`",CAN_CSV0000000000001787__12,CAN_CSV0000000000001797__0
What is the average of a specific expense type for companies with high quality indicators where total expenses are in the top quartile?,"What is the average Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects) from table CAN_CSV0000000000001797__2 for companies with a specific Quality_Indicator_Indicateurs_de_qualite_1 from table CAN_CSV0000000000001787__8, where the Top_Quartile_Total_expenses_Quart_superieur in both tables matches?",SELECT AVG(T1.`Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects)`) FROM `CAN_CSV0000000000001797__2` T1 JOIN `CAN_CSV0000000000001787__8` T2 ON T1.`Top_Quartile_Total_expenses_Quart_superieur` = T2.`Top_Quartile_Total_expenses_Quart_superieur` WHERE T2.`Quality_Indicator_Indicateurs_de_qualite_1` = 'A';,CAN_CSV0000000000001797__2,CAN_CSV0000000000001787__8
What is the average business fees for companies that are incorporated and have a quality indicator of B?,What is the average Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires from table CAN_CSV0000000000001787__8 for companies where Incorporation_Status__Etat_d'incorporation is 3 in table CAN_CSV0000000000001797__2 and Quality_Indicator_Indicateurs_de_qualite_7 is 'B' in both tables?,SELECT AVG(T2.`Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires`) FROM `CAN_CSV0000000000001797__2` T1 JOIN `CAN_CSV0000000000001787__8` T2 ON T1.`Quality_Indicator_Indicateurs_de_qualite_7` = T2.`Quality_Indicator_Indicateurs_de_qualite_7` WHERE T1.`Incorporation_Status__Etat_d'incorporation` = 3 AND T1.`Quality_Indicator_Indicateurs_de_qualite_7` = 'B';,CAN_CSV0000000000001797__2,CAN_CSV0000000000001787__8
What is the average indirect operating expenses for companies that are incorporated and have high wages and benefits?,"What is the average Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects) for companies with Incorporation_Status__Etat_d'incorporation equal to 2, where the corresponding Top_Quartile_Wages_and_Benefits_Quart_superieur_Salaires_et_avantages_sociaux in the other table is greater than 10?",SELECT AVG(T1.`Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects)`) FROM `CAN_CSV0000000000001797__2` T1 JOIN `CAN_CSV0000000000001787__8` T2 ON T1.`Top_Quartile_Total_expenses_Quart_superieur` = T2.`Top_Quartile_Total_expenses_Quart_superieur` WHERE T1.`Incorporation_Status__Etat_d'incorporation` = 2 AND T2.`Top_Quartile_Wages_and_Benefits_Quart_superieur_Salaires_et_avantages_sociaux` > 10;,CAN_CSV0000000000001797__2,CAN_CSV0000000000001787__8
What is the average indirect operating expenses for companies that are incorporated and have high quality and significant profits?,"What is the average Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects) for companies with Incorporation_Status__Etat_d'incorporation equal to 2 in table CAN_CSV0000000000001797__3, where the corresponding Quality_Indicator_Indicateurs_de_qualite_5 in table CAN_CSV0000000000001797__6 is 'A' and Top_Quartile_Net_Profit/Loss_Quart_superieur_Benefice/perte_net is greater than 100?",SELECT AVG(T1.`Upper_Middle_Operating_Expenses_(indirect)_3e_quart_Depenses_d'exploitation_(frais_indirects)`) FROM `CAN_CSV0000000000001797__3` T1 JOIN `CAN_CSV0000000000001797__6` T2 ON T1.`Incorporation_Status__Etat_d'incorporation` = T2.`Incorporation_Status__Etat_d'incorporation` WHERE T1.`Incorporation_Status__Etat_d'incorporation` = 2 AND T2.`Quality_Indicator_Indicateurs_de_qualite_5` = 'A' AND T2.`Top_Quartile_Net_Profit/Loss_Quart_superieur_Benefice/perte_net` > 100;,CAN_CSV0000000000001797__3,CAN_CSV0000000000001797__6
What is the average business fees for incorporated companies with high quality indicators and large opening inventory?,"What is the average Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires for companies with Incorporation_Status__Etat_d'incorporation equal to 1 in table CAN_CSV0000000000001797__3, where the corresponding Quality_Indicator_Indicateurs_de_qualite_7 is 'A' in table CAN_CSV0000000000001797__6 and Top_Quartile_Opening_Inventory_Quart_superieurs_Stocks_d'ouverture is greater than 50?",SELECT AVG(T1.`Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires`) FROM `CAN_CSV0000000000001797__3` T1 JOIN `CAN_CSV0000000000001797__6` T2 ON T1.`Incorporation_Status__Etat_d'incorporation` = T2.`Incorporation_Status__Etat_d'incorporation` WHERE T1.`Incorporation_Status__Etat_d'incorporation` = 1 AND T2.`Quality_Indicator_Indicateurs_de_qualite_7` = 'A' AND T2.`Top_Quartile_Opening_Inventory_Quart_superieurs_Stocks_d'ouverture` > 50;,CAN_CSV0000000000001797__3,CAN_CSV0000000000001797__6
"What is the average business fees for companies that are incorporated with a status of 2, have a quality indicator of A, and pay more than 10 in top quartile rent?","What is the average Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires for companies with Incorporation_Status__Etat_d'incorporation equal to 2, where the corresponding Quality_Indicator_Indicateurs_de_qualite_4 is 'A' and Top_Quartile_Rent_Quart_superieur_Location is greater than 10?",SELECT AVG(T1.`Upper_Middle_Professional_and_business_fees_3e_quart_Interets_et_frais_bancaires`) FROM `CAN_CSV0000000000001797__3` T1 JOIN `CAN_CSV0000000000001797__6` T2 ON T1.`Incorporation_Status__Etat_d'incorporation` = T2.`Incorporation_Status__Etat_d'incorporation` WHERE T1.`Incorporation_Status__Etat_d'incorporation` = 2 AND T2.`Quality_Indicator_Indicateurs_de_qualite_4` = 'A' AND T2.`Top_Quartile_Rent_Quart_superieur_Location` > 10;,CAN_CSV0000000000001797__3,CAN_CSV0000000000001797__6
"What is the average dew point temperature for ships with an ID over 100 and visibility under 96 kilometers, where the quadrant matches between the two sets of data?","What is the average Dew_Point_Temperature_(C) for ships with Ship_ID greater than 100 and Visibility_(km) less than 96, considering only the records where Quadrant is equal in both tables?",SELECT AVG(T1.`Dew_Point_Temperature_(C)`) FROM `CAN_CSV0000000000027405__5` T1 JOIN `CAN_CSV0000000000027405__5` T2 ON T1.`10_Mardsen_Square` = T2.`10_Mardsen_Square` WHERE T1.`Ship_ID` > 100 AND T1.`Visibility_(km)` < 96 AND T1.`Quadrant` = T2.`Quadrant`;,CAN_CSV0000000000027405__5,CAN_CSV0000000000027405__5
"What is the average wave height for ships with ID greater than 200 and visibility less than 98, where the quadrant matches between the two tables and the day is the same?","What is the average wave height for ships with ID greater than 200 and visibility less than 98, where the quadrant matches between the two tables and the day is the same?",SELECT AVG(T1.`Wave_Height_(m)`) FROM `CAN_CSV0000000000027405__5` T1 JOIN `CAN_CSV0000000000027405__5` T2 ON T1.`10_Mardsen_Square` = T2.`10_Mardsen_Square` AND T1.`Quadrant` = T2.`Quadrant` AND T1.`Day_(DD)` = T2.`Day_(DD)` WHERE T1.`Ship_ID` > 200 AND T1.`Visibility_(km)` < 98;,CAN_CSV0000000000027405__5,CAN_CSV0000000000027405__5
"What is the average wave height for ships with ID greater than 400 and visibility less than 95, where quadrant and 10 mardsen square match and day is either 15 or 16?",What is the average wave height for ships with ID greater than 400 and visibility less than 95?,"SELECT AVG(T1.`Wave_Height_(m)`) FROM `CAN_CSV0000000000027405__5` T1 JOIN `CAN_CSV0000000000027405__5` T2 ON T1.`10_Mardsen_Square` = T2.`10_Mardsen_Square` AND T1.`Quadrant` = T2.`Quadrant` WHERE T1.`Ship_ID` > 400 AND T1.`Visibility_(km)` < 95 AND T1.`Day_(DD)` IN (15, 16);",CAN_CSV0000000000027405__5,CAN_CSV0000000000027405__5
"What are the occurrences where the event type and location are the same in both tables, and what are the corresponding subdivision and country for these occurrences?",Find occurrences with matching type and location in both tables along with subdivision and country names,"SELECT T1.`OCCURRENCETYPEDESCRIPTIONF`, T1.`OCCURRENCELOCATION`, T1.`SUBDIVISION_FNM`, T1.`COUNTRY_FNM` FROM `CAN_CSV0000000000001337__3` T1 JOIN `CAN_CSV0000000000001337__4` T2 ON T1.`OCCURRENCETYPEDESCRIPTIONF` = T2.`OCCURRENCETYPEDESCRIPTIONF` AND T1.`OCCURRENCELOCATION` = T2.`OCCURRENCELOCATION`",CAN_CSV0000000000001337__3,CAN_CSV0000000000001337__4
What type of incidents happened during the day or night at the same location in both datasets?,What are the OCCURRENCETYPEDESCRIPTIONF and corresponding DAYORNIGHT for incidents that occurred at the same OCCURRENCELOCATION in both tables?,"SELECT T1.`OCCURRENCETYPEDESCRIPTIONF`, T1.`DAYORNIGHT`, T2.`DAYORNIGHT` FROM `CAN_CSV0000000000001337__3` T1 JOIN `CAN_CSV0000000000001337__4` T2 ON T1.`OCCURRENCELOCATION` = T2.`OCCURRENCELOCATION` WHERE T1.`OCCURRENCETYPEDESCRIPTIONF` = 'Incident' AND T2.`OCCURRENCETYPEDESCRIPTIONF` = 'Incident'",CAN_CSV0000000000001337__3,CAN_CSV0000000000001337__4
